,No.,Title,Artist(s),Year,spo_name,spo_id,explicit,images,release_date,preview_url,itunes_name,apple_id,genre,trackTime,trackView
249,50,"""Beautiful People""",Ed Sheeran featuring Khalid,2019,Beautiful People (feat. Khalid),4evmHXcjt3bTUHD1cvny97,False,https://i.scdn.co/image/ab67616d0000b273358f874d5d31e76a8fe3f6d0,2019-06-28,https://p.scdn.co/mp3-preview/42170e276a9ec9550e2abe8d2d4cba7c21082e45?cid=914d599079cf414bb7441d9c09e8dd1d,Beautiful People (feat. Khalid),1464549657,Pop,197867,https://music.apple.com/us/album/beautiful-people-feat-khalid/1464549183?i=1464549657&uo=4
250,51,"""Wake Up in the Sky""","Gucci Mane, Bruno Mars and Kodak Black",2019,Wake Up in the Sky,0QIjsbm2fh1cJ45XO9eGqq,True,https://i.scdn.co/image/ab67616d0000b273b64fc7036d0fccef26f9f7e8,2018-09-14,https://p.scdn.co/mp3-preview/f5bee94f14ae13ee0dcb6580ad369d5411c4e124?cid=914d599079cf414bb7441d9c09e8dd1d,Wake Up in the Sky,1445409363,Hip-Hop/Rap,203161,https://music.apple.com/us/album/wake-up-in-the-sky/1445409352?i=1445409363&uo=4
251,52,"""Whiskey Glasses""",Morgan Wallen,2019,Whiskey Glasses,6foY66mWZN0pSRjZ408c00,False,https://i.scdn.co/image/ab67616d0000b273f9f2dda2df2a695b9bad3440,2018-04-27,https://p.scdn.co/mp3-preview/116439bc4def37fc64e057feb4fd1f19234934f3?cid=914d599079cf414bb7441d9c09e8dd1d,Whiskey Glasses,1440111980,Country,234347,https://music.apple.com/us/album/whiskey-glasses/1440111976?i=1440111980&uo=4
252,53,"""God's Country""",Blake Shelton,2019,God's Country,1dyxS3YzBbL0t8rEVwVQ1K,False,https://i.scdn.co/image/ab67616d0000b2730d7cfe15d2f94083ccb6ae81,2019-03-29,https://p.scdn.co/mp3-preview/1e7cf5deb871f4c2e7c85b82fa3e65f2c31033e7?cid=914d599079cf414bb7441d9c09e8dd1d,God Gave Me You,1470924185,Country,230093,https://music.apple.com/us/album/god-gave-me-you/663114146?i=663114228&uo=4
253,54,"""Be Alright""",Dean Lewis,2019,Be Alright,3EPXxR3ImUwfayaurPi3cm,True,https://i.scdn.co/image/ab67616d0000b27313480e8127119dcb882eb53d,2018-06-29,,Be Alright,1440858388,Singer/Songwriter,196373,https://music.apple.com/us/album/be-alright/1400595841?i=1400596082&uo=4
254,55,"""Pure Water""",Mustard and Migos,2019,Pure Water (with Migos),3j84U36KvLeXNDPv4t5pI8,True,https://i.scdn.co/image/ab67616d0000b27393b1e96fad758869d0974162,2019-06-28,,Pure Water,1469500919,Hip-Hop/Rap,192471,https://music.apple.com/us/album/pure-water/1469500805?i=1469500919&uo=4
255,56,"""The Git Up""",Blanco Brown,2019,The Git Up,2KKijf6Ett4kmVNJze2roh,False,https://i.scdn.co/image/ab67616d0000b27316a4572af63994af2da61dc9,2019-10-10,https://p.scdn.co/mp3-preview/a59b55af454925945d00a1cdac8707f115216d82?cid=914d599079cf414bb7441d9c09e8dd1d,The Git Up,1478832066,Country,200594,https://music.apple.com/us/album/the-git-up/1478831830?i=1478832066&uo=4
256,57,"""Taki Taki""","DJ Snake featuring Selena Gomez, Ozuna and Cardi B",2019,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",4w8niZpiMy6qz1mntFA5uM,True,https://i.scdn.co/image/ab67616d0000b273e105c410a7b390c61a58cbf8,2018-09-28,,"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)",1498387230,Dance,212500,https://music.apple.com/us/album/taki-taki-feat-selena-gomez-ozuna-cardi-b/1498387209?i=1498387230&uo=4
257,58,"""Close to Me""",Ellie Goulding and Diplo featuring Swae Lee,2019,Close To Me,7AZqr8BKI4rOdLhxa4jEA8,True,https://i.scdn.co/image/ab67616d0000b2732e82607d66db70e5639f67ff,2022-04-05,,Close to Me (feat. Diplo & Swae Lee),1288102538,Pop,223533,https://music.apple.com/us/album/close-to-me-feat-diplo-swae-lee-felix-cartal-remix/1458502323?i=1458502324&uo=4
258,59,"""Envy Me""",Calboy,2019,Envy Me,7rvyVWja33WG9R97oeJAjx,True,https://i.scdn.co/image/ab67616d0000b2735f75220f317b41171e88209e,2019-05-31,https://p.scdn.co/mp3-preview/5c82662a3df90c5a3e31b4d3a30ad2f673ed4988?cid=914d599079cf414bb7441d9c09e8dd1d,Envy Me,1446830881,Hip-Hop/Rap,120137,https://music.apple.com/us/album/envy-me/1446830879?i=1446830881&uo=4
